minute_of_day,core_temperature,ambient_temperature
620.1666666666666,5.9,11.6
621.1666666666666,5.949999999999999,11.6
622.1666666666666,6.1,11.6
623.1666666666666,6.275,11.6
624.1666666666666,6.2,11.6
625.1666666666666,6.025,14.4
626.1666666666666,6.225,14.4
627.1666666666666,6.425000000000001,14.4
628.1666666666666,6.425,14.4
629.1666666666666,6.324999999999999,14.4
630.1666666666666,6.6,14.4
631.1666666666666,6.6,14.4
632.1666666666666,6.575,14.4
633.1666666666666,6.449999999999999,14.4
634.1666666666666,6.625,14.4
635.1666666666666,6.800000000000001,15.4
636.1666666666666,6.85,15.4
637.1666666666666,6.95,15.4
638.1666666666666,6.824999999999999,15.4
639.1666666666666,6.925,15.4
640.1666666666666,6.9,15.4
641.1666666666666,6.924999999999999,15.4
642.1666666666666,6.975,15.4
643.1666666666666,7.125,15.4
644.1666666666666,7.074999999999999,15.4
645.1666666666666,7.175000000000001,9.7
646.1666666666666,7.199999999999999,9.7
647.1666666666666,7.25,9.7
648.1666666666666,7.375000000000001,9.7
649.1666666666666,7.3999999999999995,9.7
650.1666666666666,7.7250000000000005,9.7
652.1666666666666,7.5249999999999995,9.7
653.1666666666666,7.800000000000001,9.7
654.1666666666666,7.675,9.7
655.1666666666666,7.950000000000001,14.5
656.1666666666666,7.725,14.5
657.1666666666666,8.024999999999999,14.5
658.1666666666666,7.824999999999999,14.5
659.1666666666666,7.975,14.5
660.1666666666666,7.950000000000001,14.5
661.1666666666666,8.05,14.5
662.1666666666666,8.0,14.5
663.1666666666666,8.125,14.5
664.1666666666666,8.35,14.5
665.1666666666666,8.35,7.2
666.1666666666666,8.325,7.2
667.1666666666666,8.424999999999999,7.2
668.1666666666666,8.399999999999999,7.2
669.1666666666666,8.174999999999999,3.8
670.1666666666666,8.375,3.8
671.1666666666666,8.149999999999999,3.8
672.1666666666666,8.375,3.8
673.1666666666666,8.175,3.8
674.1666666666666,8.375,3.8
675.1666666666666,8.325,10.6
676.1666666666666,8.299999999999999,10.6
677.1666666666666,8.299999999999999,10.6
678.1666666666666,8.15,10.6
679.1666666666666,8.15,3.8
680.1666666666666,8.375,3.8
681.1666666666666,8.15,3.8
682.1666666666666,8.375,3.8
683.1666666666666,8.125,3.8
684.1666666666666,8.124999999999998,3.8
685.1666666666666,8.2,12.6
686.1666666666666,8.25,12.6
687.1666666666666,8.15,12.6
688.1666666666666,8.100000000000001,12.6
689.1666666666666,8.175,3.8
690.1666666666666,8.15,3.8
691.1666666666666,8.0,3.8
692.1666666666666,8.0,3.8
693.1666666666666,8.075,3.8
694.1666666666666,8.15,3.8
695.1666666666666,8.075000000000001,13.7
696.1666666666666,8.25,13.7
697.1666666666666,8.175,13.7
698.1666666666666,8.25,13.7
699.1666666666666,8.1,3.8
700.1666666666666,8.05,3.8
701.1666666666666,8.075000000000001,3.8
702.1666666666666,8.125000000000002,3.8
703.1666666666666,8.225,3.8
704.1666666666666,8.25,3.8
705.1666666666666,8.175,15.1
706.1666666666666,8.4,15.1
707.1666666666666,8.5,15.1
708.1666666666666,8.299999999999999,15.1
709.1666666666666,8.525,6.9
710.1666666666666,8.275,6.9
711.1666666666666,8.525,6.9
712.1666666666666,8.575000000000001,6.9
713.1666666666666,8.6,6.9
714.1666666666666,8.625,6.9
715.1666666666666,8.549999999999999,15.7
716.1666666666666,8.7,15.7
717.1666666666666,8.725,15.7
718.1666666666666,8.75,15.7
719.1666666666666,8.825000000000001,10.6
720.1666666666666,8.8,10.6
721.1666666666666,9.0,10.6
722.1666666666666,9.025,10.6
723.1666666666666,9.025,10.6
724.1666666666666,9.100000000000001,10.6
725.1666666666666,8.950000000000001,17.3
726.1666666666666,9.049999999999999,17.3
727.1666666666666,9.2,17.3
728.1666666666666,9.350000000000001,17.3
729.1666666666666,9.35,13.1
730.1666666666666,9.375,13.1
731.1666666666666,9.5,13.1
732.1666666666666,9.450000000000001,13.1
733.1666666666666,9.35,13.1
734.1666666666666,9.375,13.1
735.1666666666666,9.7,11.8
736.1666666666666,9.7,11.8
737.1666666666666,9.625,11.8
738.1666666666666,9.799999999999999,11.8
739.1666666666666,9.75,15.6
740.1666666666666,10.0,15.6
741.1666666666666,9.975,15.6
742.1666666666666,10.100000000000001,15.6
742.8333333333334,10.275,15.6
743.1666666666666,10.05,15.6
744.1666666666666,10.15,15.6
745.1666666666666,10.0,8.3
746.1666666666666,10.0,8.3
747.1666666666666,10.200000000000001,8.3
748.1666666666666,10.325,8.3
749.1666666666666,10.124999999999998,17.3
750.1666666666666,10.149999999999999,17.3
751.1666666666666,10.2,17.3
752.1666666666666,10.25,17.3
753.1666666666666,10.25,17.3
754.1666666666666,10.325,17.3
755.1666666666666,10.275,8.0
756.1666666666666,10.475000000000001,8.0
757.1666666666666,10.325,8.0
758.1666666666666,10.525,8.0
759.1666666666666,10.35,18.7
760.1666666666666,10.325,18.7
761.1666666666666,10.375,18.7
762.1666666666666,10.524999999999999,18.7
763.1666666666666,10.299999999999999,18.7
764.1666666666666,10.35,18.7
765.1666666666666,10.475000000000001,5.7
766.1666666666666,10.5,5.7
767.1666666666666,10.275,5.7
768.1666666666666,10.25,5.7
769.1666666666666,10.25,14.7
770.1666666666666,10.375,14.7
771.1666666666666,10.350000000000001,14.7
772.1666666666666,10.325000000000001,14.7
773.1666666666666,10.350000000000001,14.7
774.1666666666666,10.1,14.7
775.1666666666666,10.1,5.8
776.1666666666666,10.274999999999999,5.8
777.1666666666666,10.25,5.8
778.1666666666666,10.0,5.8
779.1666666666666,10.200000000000001,8.7
780.1666666666666,10.075,8.7
781.1666666666666,10.075,8.7
782.1666666666666,10.05,8.7
783.1666666666666,9.950000000000001,8.7
784.1666666666666,9.950000000000001,8.7
785.1666666666666,10.225,15.1
786.1666666666666,10.225,15.1
787.1666666666666,10.125,15.1
788.1666666666666,9.975000000000001,15.1
789.1666666666666,9.975000000000001,5.1
790.1666666666666,10.0,5.1
791.1666666666666,10.1,5.1
792.1666666666666,10.15,5.1
793.1666666666666,9.9,5.1
794.1666666666666,9.95,5.1
795.1666666666666,10.2,14.6
796.1666666666666,10.25,14.6
797.1666666666666,10.025,14.6
798.1666666666666,10.200000000000001,14.6
799.1666666666666,10.05,8.5
800.1666666666666,10.1,8.5
801.1666666666666,10.224999999999998,8.5
802.1666666666666,10.2,8.5
803.1666666666666,10.174999999999999,8.5
804.1666666666666,10.45,8.5
805.1666666666666,10.275,17.1
806.1666666666666,10.525,17.1
807.1666666666666,10.35,17.1
808.1666666666666,10.525,17.1
809.1666666666666,10.5,12.8
810.1666666666666,10.575,12.8
811.1666666666666,10.55,12.8
812.1666666666666,10.775,12.8
813.1666666666666,10.825000000000001,12.8
814.1666666666666,10.8,12.8
815.1666666666666,10.875,18.7
816.1666666666666,10.975000000000001,18.7
817.1666666666666,11.0,18.7
818.1666666666666,11.075,18.7
819.1666666666666,11.15,15.2
820.1666666666666,11.2,15.2
821.1666666666666,11.2,15.2
822.1666666666666,10.975,15.2
823.1666666666666,11.25,15.2
824.1666666666666,11.125,15.2
825.1666666666666,11.175,13.4
826.1666666666666,11.4,13.4
827.1666666666666,11.45,13.4
828.1666666666666,11.3,13.4
829.1666666666666,11.600000000000001,17.9
830.1666666666666,11.625,17.9
831.1666666666666,11.725000000000001,17.9
832.1666666666666,11.524999999999999,17.9
